kind,legacy_name,openmu_or_plugin,parity_status,notes
TABLE,GuildMember,,todo,dbo.GuildMember — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table GuildMember
TABLE,HelperData,,todo,dbo.HelperData — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table HelperData
TABLE,ItemLog,,todo,dbo.ItemLog — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table ItemLog
TABLE,ItemMarketData,,todo,dbo.ItemMarketData — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table ItemMarketData
TABLE,LOG_CREDITOS,,todo,dbo.LOG_CREDITOS — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table LOG_CREDITOS
TABLE,LuckyCoin,,todo,dbo.LuckyCoin — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table LuckyCoin
TABLE,LuckyItem,,todo,dbo.LuckyItem — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table LuckyItem
TABLE,Marry,,todo,dbo.Marry — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table Marry
TABLE,MasterSkillTree,,todo,dbo.MasterSkillTree — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MasterSkillTree
TABLE,MEMB_INFO,,todo,dbo.MEMB_INFO — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MEMB_INFO
TABLE,MEMB_STAT,,todo,dbo.MEMB_STAT — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MEMB_STAT
TABLE,MK_Server,,todo,dbo.MK_Server — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MK_Server
TABLE,MuCastle_DATA,,todo,dbo.MuCastle_DATA — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MuCastle_DATA
TABLE,MuCastle_MONEY_STATISTICS,,todo,dbo.MuCastle_MONEY_STATISTICS — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MuCastle_MONEY_STATISTICS
TABLE,MuCastle_NPC,,todo,dbo.MuCastle_NPC — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MuCastle_NPC
TABLE,MuCastle_REG_SIEGE,,todo,dbo.MuCastle_REG_SIEGE — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MuCastle_REG_SIEGE
TABLE,MuCastle_SIEGE_GUILDLIST,,todo,dbo.MuCastle_SIEGE_GUILDLIST — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table MuCastle_SIEGE_GUILDLIST
TABLE,OptionData,,todo,dbo.OptionData — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table OptionData
TABLE,QuestKillCount,,todo,dbo.QuestKillCount — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table QuestKillCount
TABLE,QuestWorld,,todo,dbo.QuestWorld — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table QuestWorld
TABLE,RankingBloodCastle,,todo,dbo.RankingBloodCastle — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingBloodCastle
TABLE,RankingChaosCastle,,todo,dbo.RankingChaosCastle — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingChaosCastle
TABLE,RankingDevilSquare,,todo,dbo.RankingDevilSquare — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingDevilSquare
TABLE,RankingDuel,,todo,dbo.RankingDuel — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingDuel
TABLE,RankingIllusionTemple,,todo,dbo.RankingIllusionTemple — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingIllusionTemple
TABLE,RankingKingGuild,,todo,dbo.RankingKingGuild — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingKingGuild
TABLE,RankingKingPlayer,,todo,dbo.RankingKingPlayer — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingKingPlayer
TABLE,RankingTvT,,todo,dbo.RankingTvT — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table RankingTvT
TABLE,T_CGuid,,todo,dbo.T_CGuid — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_CGuid
TABLE,T_FriendList,,todo,dbo.T_FriendList — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_FriendList
TABLE,T_FriendMail,,todo,dbo.T_FriendMail — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_FriendMail
TABLE,T_FriendMain,,todo,dbo.T_FriendMain — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_FriendMain
TABLE,T_PetItem_Info,,todo,dbo.T_PetItem_Info — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_PetItem_Info
TABLE,T_WaitFriend,,todo,dbo.T_WaitFriend — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table T_WaitFriend
TABLE,warehouse,,todo,dbo.warehouse — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table warehouse
TABLE,WarehouseGuild,,todo,dbo.WarehouseGuild — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table WarehouseGuild
TABLE,WZ_CW_INFO,,todo,dbo.WZ_CW_INFO — điền map OpenMU/plugin; so cột với takumi-mssql-inspect --table WZ_CW_INFO
